MATCH_ID,LEAGUE_ID,LEAGUE_NAME,LEAGUE_YEAR,CLUB_ID,MATCH_DATE,MATCH_DATE_KEY,TEAM_ONE_ID,TEAM_TWO_ID,INNINGS,INNINGS_TEAM,PLAYER,PLAYER_ID,DISMISSAL_TEXT,DISMISSAL_PLAYER_1,DISMISSAL_PLAYER_1_ID,DISMISSAL_PLAYER_2,DISMISSAL_PLAYER_2_ID,DISMISSAL_PLAYER_IDS,RUNS,BALLS,FOURS,SIXES,STRIKE_RATE
8620,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,07/03/2026,20260307,5427,5428,1,IRENE VILLAGERS 3,Stefan Strydom,2985833,c † Dylan H b Burgert K,Dylan H,2936902,Burgert K,4742888,"2936902,4742888",12,25,1,0,48.00
8620,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,07/03/2026,20260307,5427,5428,1,IRENE VILLAGERS 3,Hendré Van Niekerk,3713455,c † Dylan H b Burgert K,Dylan H,2936902,Burgert K,4742888,"2936902,4742888",1,11,0,0,9.09
8620,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,07/03/2026,20260307,5427,5428,1,IRENE VILLAGERS 3,Rohann Rossouw,6355842,lbw b Brian K,Brian K,4688792,,,4688792,14,21,1,0,66.67
8620,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,07/03/2026,20260307,5427,5428,1,IRENE VILLAGERS 3,Jan De Klerk,6654202,c † Dylan H b Marcel C,Dylan H,2936902,Marcel C,6336326,"2936902,6336326",72,86,8,2,83.72
8620,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,07/03/2026,20260307,5427,5428,1,IRENE VILLAGERS 3,Waldemar Bodenstein,6299549,run out ( Dylan H / Burgert K ),Dylan H,2936902,Burgert K,4742888,"2936902,4742888",74,81,5,2,91.36
8620,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,07/03/2026,20260307,5427,5428,1,IRENE VILLAGERS 3,Ciaron Roundtree,6355841,St Dylan H b Hayden V,Dylan H,2936902,Hayden V,6372013,"2936902,6372013",3,5,0,0,60.00
8620,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,07/03/2026,20260307,5427,5428,1,IRENE VILLAGERS 3,Werner Pretorius,4756703,c&b Burgert K,Burgert K,4742888,,,4742888,0,1,0,0,0.00
8620,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,07/03/2026,20260307,5427,5428,1,IRENE VILLAGERS 3,Neil Jansen,4655259,not out,,,,,,11,10,1,0,110.00
8620,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,07/03/2026,20260307,5427,5428,1,IRENE VILLAGERS 3,Kyle Kunneke,2985826,not out,,,,,,2,1,0,0,200.00
8620,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,07/03/2026,20260307,5427,5428,2,PHSOB 3,Hayden Van Den Heever,6372013,c Jan D b Neil J,Jan D,6654202,Neil J,4655259,"6654202,4655259",3,5,0,0,60.00
8620,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,07/03/2026,20260307,5427,5428,2,PHSOB 3,Dylan Howe-Dreyer,2936902,c Barend P b Werner P,Barend P,4854733,Werner P,4756703,"4854733,4756703",1,5,0,0,20.00
8620,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,07/03/2026,20260307,5427,5428,2,PHSOB 3,Liam Armstrong,6358571,c † b Neil J,Neil J,4655259,,,4655259,12,22,1,0,54.55
8620,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,07/03/2026,20260307,5427,5428,2,PHSOB 3,Brian Kershaw,4688792,c&b Jacques V,Jacques V,3795662,,,3795662,73,73,4,4,100.00
8620,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,07/03/2026,20260307,5427,5428,2,PHSOB 3,Emil Rolfes,2936903,c Hendré v b Werner P,Hendré v,3713455,Werner P,4756703,"3713455,4756703",0,3,0,0,0.00
8620,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,07/03/2026,20260307,5427,5428,2,PHSOB 3,Fredrik Strydom,6654203,b Barend P,Barend P,4854733,,,4854733,26,28,3,1,92.86
8620,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,07/03/2026,20260307,5427,5428,2,PHSOB 3,Marcel Cronjé,6336326,c Ciaron R b Kyle K,Ciaron R,6355841,Kyle K,2985826,"6355841,2985826",32,67,0,0,47.76
8620,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,07/03/2026,20260307,5427,5428,2,PHSOB 3,Christopher Bouwer,6654204,b Kyle K,Kyle K,2985826,,,2985826,22,17,0,0,129.41
8620,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,07/03/2026,20260307,5427,5428,2,PHSOB 3,André Duvenhage,6336328,b Barend P,Barend P,4854733,,,4854733,11,11,0,0,100.00
8620,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,07/03/2026,20260307,5427,5428,2,PHSOB 3,Burgert Kloppers,4742888,b Barend P,Barend P,4854733,,,4854733,0,5,0,0,0.00
8556,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,28/02/2026,20260228,5426,5432,1,HARLEQUINS 3,Juan Viljoen,4729877,c Aj A b Jacques V,Aj A,6644508,Jacques V,3745426,"6644508,3745426",36,29,5,0,124.14
8556,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,28/02/2026,20260228,5426,5432,1,HARLEQUINS 3,Kopano Thema,6570617,c Brandon P b Clayton B,Brandon P,6336390,Clayton B,4100291,"6336390,4100291",59,74,6,1,79.73
8556,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,28/02/2026,20260228,5426,5432,1,HARLEQUINS 3,Eddie Stephen,6299173,c&b Clayton B,Clayton B,4100291,,,4100291,95,71,9,7,133.80
8556,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,28/02/2026,20260228,5426,5432,1,HARLEQUINS 3,Ulrich Breytenbach,6592628,not out,,,,,,12,12,1,0,100.00
8556,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,28/02/2026,20260228,5426,5432,1,HARLEQUINS 3,Ruan Coetzer,6336357,not out,,,,,,0,8,0,0,0.00
8553,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,28/02/2026,20260228,5430,5425,1,TUKS 5,Wayne Sadler,6336329,c † b Janro D,Janro D,6299640,,,6299640,11,28,1,0,39.29
8553,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,28/02/2026,20260228,5430,5425,1,TUKS 5,Frits Snyman,2936846,lbw b Altus C,Altus C,6644492,,,6644492,7,10,0,0,70.00
8553,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,28/02/2026,20260228,5430,5425,1,TUKS 5,Johan Nel,4655263,c † b Altus C,Altus C,6644492,,,6644492,0,2,0,0,0.00
